Drug Name,SMILES,molecular_weight,logP,pKa,solubility,permeability,plasma_protein_binding,fm_in_vitro,fu_in_vitro,Clearance,CYP450_Enzyme
omecamtiv mecarbil,CC1=NC=C(C=C1)NC(=O)NC2=CC=CC(=C2F)CN3CCN(CC3)C(=O)OC,401.4396,,,,,0.909,,,17.9,
anagliptin,CC1=NN2C=C(C=NC2=C1)C(=O)NCC(C)(C)NCC(=O)N3CCC[C@H]3C#N,383.4535,,,,,,,,352.2,
netivudine,CC#CC1=CN(C(=O)NC1=O)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O,282.2506,,,,,0.88,,,0.605,
diltiazem,CC(=O)O[C@@H]1[C@@H](SC2=CC=CC=C2N(C1=O)CCN(C)C)C3=CC=C(C=C3)OC,414.523,,,,,0.405,,,7.0,CYP450_3a4_substrate
dalfopristin,CCN(CC)CCS(=O)(=O)[C@@H]1CCN2[C@H]1C(=O)O[C@@H]([C@@H](/C=C/C(=O)NC/C=C/C(=C/[C@H](CC(=O)CC3=NC(=CO3)C2=O)O)/C)C)C(C)C,690.854,,,,,0.53,,,15.25,
medroxyprogesterone,C[C@H]1C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)O)C)[C@@]4(C1=CC(=O)CC4)C,,,,,,,,,115.0,
fenofibrate,CC(C)OC(=O)C(C)(C)OC1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)Cl,360.8,,,,,0.99,,,,CYP450_3a4_substrate
metolazone,CC1NC2=CC(=C(C=C2C(=O)N1C3=CC=CC=C3C)S(=O)(=O)N)Cl,365.839,,,,,,,,7503.9,
zolmitriptan,CN(C)CCC1=CNC2=C1C=C(C=C2)C[C@H]3COC(=O)N3,287.36,,,,,0.25,,,11.2,CYP450_3a4_inhibitor
kanamycin,C1[C@H]([C@@H]([C@H]([C@@H]([C@H]1N)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CN)O)O)O)O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)N)O)N,484.499,,,,,,,,,
tenoxicam,CN1C(=C(C2=C(S1(=O)=O)C=CS2)O)C(=O)NC3=CC=CC=N3,337.3789,1.9,2.21,14100.0,,,,,2.745,
decitabine,C1[C@@H]([C@H](O[C@H]1N2C=NC(=NC2=O)N)CO)O,228.21,,,3.3,,0.01,,,125.0,CYP450_3a4_substrate
ranitidine,CN/C(=C\[N+](=O)[O-])/NCCSCC1=CC=C(O1)CN(C)C,314.408,,,,,0.09,,,5.75,
ginsenoside Rd,CC(=CCC[C@@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(C[C@@H]([C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)C)O)C)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)C,947.1578,,,,,0.003,,,1.3,
vinorelbine,CCC1=C[C@H]2C[C@@](C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC,778.942,,,,,,,,14.0,
rivastigmine,CCN(C)C(=O)OC1=CC=CC(=C1)[C@H](C)N(C)C,250.34,,,,,0.4,,,1.2,CYP450_3a4_inhibitor
vilazodone,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,441.5323,,7.1,0.32,,0.975,0.6,,29.4,CYP450_3a4_substrate
oseltamivir acid,CCC(CC)O[C@@H]1C=C(C[C@@H]([C@H]1NC(=O)C)N)C(=O)O,284.3536,,,,,0.03,,,,
mercaptopurine,C1=NC2=C(N1)C(=S)N=CN2,152.181,,,,,0.19,,,7.5,
terbutaline,CC(C)(C)NCC(C1=CC(=CC(=C1)O)O)O,548.6,,,,,0.2,,,2.0,
pramipexole,CCCN[C@H]1CCC2=C(C1)SC(=N2)N,211.33,,,,,0.15,,,4.8,CYP450_3a4_inhibitor
metrifonate (trichlorfon),COP(=O)(C(C(Cl)(Cl)Cl)O)OC,257.4362,,,,,,,,0.34,
dextromethorphan,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,271.401,,,,,0.65,,,1116.5,
N-desethylamodiaquine,CCNCC1=C(C=CC(=C1)NC2=C3C=CC(=CC3=NC=C2)Cl)O,327.8132,,,,,,,,0.675,
bevirimat,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]3CC[C@@H]4[C@]5(CC[C@@H](C([C@@H]5CC[C@]4([C@@]3(CC2)C)C)(C)C)OC(=O)CC(C)(C)C(=O)O)C)C(=O)O,584.8324,,,,,,,,179.85000000000002,
mitiperstat,C[C@H](C1=C(C=CC(=C1)Cl)CN2C3=C(C(=O)NC2=S)NC=C3)N,334.8,,,,,0.65,,,20.1,
lumiracoxib,CC1=CC(=C(C=C1)NC2=C(C=CC=C2Cl)F)CC(=O)O,293.724,,,,,0.985,,,4.6,
exemestane,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CC(=C)C4=CC(=O)C=C[C@]34C,296.41,3.1,,,,0.9,,,145.0,CYP450_3a4_substrate
zuclopenthixol,C1CN(CCN1CC/C=C\2/C3=CC=CC=C3SC4=C2C=C(C=C4)Cl)CCO,400.971,,,0.1,,0.98,,,0.9,
lurasidone,C1CC[C@H]([C@@H](C1)CN2CCN(CC2)C3=NSC4=CC=CC=C43)CN5C(=O)[C@H]6[C@@H]7CC[C@@H](C7)[C@H]6C5=O,492.6844,5.4,1.0,,,0.99,,,3902.0,CYP450_3a4_substrate
ezetimibe,C1=CC(=CC=C1[C@@H]2[C@H](C(=O)N2C3=CC=C(C=C3)F)CC[C@@H](C4=CC=C(C=C4)F)O)O,409.43,,,,,0.9,,,,
clazosentan,CC1=CN=C(C=C1)S(=O)(=O)NC2=C(C(=NC(=N2)C3=CC(=NC=C3)C4=NNN=N4)OCCO)OC5=CC=CC=C5OC,,,,,,,,,36.0,
sildenafil,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,666.7,,,,,0.96,,,3.55,CYP450_3a4_substrate
talviraline,CC(C)OC(=O)N1[C@H](C(=S)NC2=C1C=C(C=C2)OC)CSC,340.466,2.7,8.31,0.0101,,,,,,
tilidine,CCOC(=O)[C@@]1(CCC=C[C@H]1N(C)C)C2=CC=CC=C2,273.3737,3.255,8.6,0.181,,,,,34019.5,
tetrabenazine,CC(C)CC1CN2CCC3=CC(=C(C=C3C2CC1=O)OC)OC,317.4,,,,,0.835,,,,CYP450_3a4_substrate
streptomycin,C[C@H]1[C@@]([C@H]([C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H]([C@@H]([C@H]2O)O)N=C(N)N)O)N=C(N)N)O[C@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)NC)(C=O)O,581.574,,,,,0.46,,,,
rifabutin,C[C@H]1/C=C/C=C(\C(=O)N=C2C(=C3C(=C4C2=NC5(N4)CCN(CC5)CC(C)C)C6=C(C(=C3O)C)O[C@@](C6=O)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)O)/C,847.013,3.2,,0.19,,0.365,,,1.4,
fimasartan,CCCCC1=NC(=C(C(=O)N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CC(=S)N(C)C)C,501.6559,,,,,0.977,,,2495.0,
neratinib,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)OCC4=CC=CC=N4)Cl)C#N)NC(=O)/C=C/CN(C)C,557.0511,4.9,7.65,3.3,,0.99,,,216.0,CYP450_3a4_substrate
chlorzoxazone,C1=CC2=C(C=C1Cl)NC(=O)O2,169.567,,,,,,,,313.5,
stavudine (d4T),CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,224.2148,,,,,,,,5.17,
desloratadine (descarboethoxyloratadine),C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,310.8,,,,,0.845,,,,
fludarabine,C1=NC2=C(N=C(N=C2N1[C@H]3[C@H]([C@@H]([C@H](O3)CO)O)O)F)N,365.2,,,,,0.24,,,6.6,
asunaprevir,CC(C)(C)[C@@H](C(=O)N1C[C@@H](C[C@H]1C(=O)N[C@@]2(C[C@H]2C=C)C(=O)NS(=O)(=O)C3CC3)OC4=NC=C(C5=C4C=C(C=C5)Cl)OC)NC(=O)OC(C)(C)C,748.3,,,,473.0,0.988,,,183.9,
valacyclovir (L-valacyclovir),CC(C)[C@@H](C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N,324.339,,,,,0.157,,,,
tasimelteon,CCC(=O)NC[C@@H]1C[C@H]1C2=C3CCOC3=CC=C2,245.3201,2.43,15.74,1.1,,0.9,,,1609.5,CYP450_3a4_substrate
levodopa,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,197.189,,,,,,,,13.5,
mirabegron,C1=CC=C(C=C1)[C@H](CNCCC2=CC=C(C=C2)NC(=O)CC3=CSC(=N3)N)O,396.5126,2.1,,,,0.71,,,57.0,CYP450_3a4_substrate
tolterodine,CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,325.493,1.83,9.87,12.0,,0.963,0.8,,396.0,CYP450_3a4_substrate
alfuzosin,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,,,,,,0.708,,,,
nisoldipine,CC1=C(C(C(=C(N1)C)C(=O)OCC(C)C)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,388.418,3.1,,,,0.9973000000000001,,,11.0,
milrinone,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,211.223,,,,,,,,18.2,
treprostinil,CCCCC[C@@H](CC[C@H]1[C@@H](C[C@H]2[C@@H]1CC3=C(C2)C(=CC=C3)OCC(=O)O)O)O,412.49,,,,,0.91,,,30.0,
fandosentan,CCC1=C2C(=CC(=C1)C3=C(N(S(=O)(=O)C4=CC=CC=C43)C5=CC=CC=C5C(F)(F)F)C(=O)O)OCO2,517.5,,,,,,,,15.3,
dihydrocodeine,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)OC)O[C@H]3[C@H](CC4)O,301.384,,,,,,,,704.5,
eliglustat,CCCCCCCC(=O)N[C@H](CN1CCCC1)[C@@H](C2=CC3=C(C=C2)OCCO3)O,404.5474,2.84,8.79,300.0,12.65,0.795,,,92.5,CYP450_3a4_substrate
eplerenone,C[C@]12CCC(=O)C=C1C[C@H]([C@@H]3[C@]24[C@H](O4)C[C@]5([C@H]3CC[C@@]56CCC(=O)O6)C)C(=O)OC,414.5,7.1,,,,0.5,,,10.0,CYP450_3a4_substrate
selumetinib,CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO,457.6855,,2.8,1.0,6.88,0.9840000000000001,0.56,,8.8,CYP450_3a4_substrate
mavorixafor,C1C[C@@H](C2=C(C1)C=CC=N2)N(CCCCN)CC3=NC4=CC=CC=C4N3,349.4793,2.4,11.5,70.0,0.8350000000000001,0.94,,,61.5,CYP450_3a4_substrate
alosetron,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,330.8,,6.95,,,0.41300000000000003,0.295,,600.0,
mexiletine,CC1=C(C(=CC=C1)C)OCC(C)N,179.261,2.3049999999999997,9.2,0.54,,0.33,,,1.9500000000000002,
isoniazid,C1=CN=CC=C1C(=O)NN,137.141,,,100.0,,0.0,,,4.7,
sulfamethizole,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,,0.54,1.0,1050000.0,,0.985,,,,
"arformoterol (R,R-formoterol)",C[C@H](CC1=CC=C(C=C1)OC)NC[C@@H](C2=CC(=C(C=C2)O)NC=O)O,344.4086,,,,,,,,,
tocainide,CC1=C(C(=CC=C1)C)NC(=O)C(C)N,,,,,,0.125,,,1.55,
telithromycin,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,812.0115,3.0,8.84,300000.0,,0.65,,,14.0,
morphothiadin,CCOC(=O)C1=C(NC(=NC1C2=C(C=C(C=C2)F)Br)C3=NC=CS3)CN4CCOCC4,509.4,2.5,,,,,,,106.0,
itopride,CN(C)CCOC1=CC=C(C=C1)CNC(=O)C2=CC(=C(C=C2)OC)OC,358.4354,,,1000.0,,,,,,
safinamide,C[C@@H](C(=O)N)NCC1=CC=C(C=C1)OCC2=CC(=CC=C2)F,302.3471,,,288.0,120.0,0.885,,,4.6,CYP450_3a4_substrate
clomipramine,CN(C)CCCN1C2=CC=CC=C2CCC3=C1C=C(C=C3)Cl,314.858,,,,,0.97,,,,CYP450_3a4_substrate
flurbiprofen,CC(C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O,244.264,4.2,,,,0.995,,,0.21999999999999997,
relebactam,C1C[C@H](N2C[C@@H]1N(C2=O)OS(=O)(=O)O)C(=O)NC3CCNCC3,348.378,,,,,0.22,,,5.8,
ambroxol,C1CC(CCC1NCC2=C(C(=CC(=C2)Br)Br)N)O,378.106,,,,,,,,37.995,
tasisulam,C1=CC(=C(C=C1Cl)Cl)C(=O)NS(=O)(=O)C2=CC=C(S2)Br,415.1144,3.99,4.03,0.00269,,,,,0.0111,
cinaciguat,C1=CC=C(C=C1)CCC2=CC=C(C=C2)COC3=CC=CC=C3CCN(CCCCC(=O)O)CC4=CC=C(C=C4)C(=O)O,565.7061,,,,,,,,0.59,
vancomycin,C[C@H]1[C@H]([C@@](C[C@@H](O1)O[C@@H]2[C@H]([C@@H]([C@H](O[C@H]2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)[C@H]([C@H](C(=O)N[C@H](C(=O)N[C@H]5C(=O)N[C@@H]7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)[C@H](NC(=O)[C@H]([C@@H](C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)[C@@H](CC(C)C)NC)O)Cl)CO)O)O)(C)N)O,1449.26,,,,,0.205,,,0.79,
artemisinin,C[C@@H]1CC[C@H]2[C@H](C(=O)O[C@H]3[C@@]24[C@H]1CC[C@](O3)(OO4)C)C,282.334,,,,,0.865,,,6.9,
amifostine,C(CN)CNCCSP(=O)(O)O,214.22,,,,,,,,1.115,
indoxyl sulfate,C1=CC=C2C(=C1)C(=CN2)OS(=O)(=O)O,213.212,,,,,0.905,,,,
aplaviroc,CCCCN1C(=O)[C@H](NC(=O)C12CCN(CC2)CC3=CC=C(C=C3)OC4=CC=C(C=C4)C(=O)O)[C@@H](C5CCCCC5)O,577.7177,,,,,0.93,,,34.6,
zileuton,CC(C1=CC2=CC=CC=C2S1)N(C(=O)N)O,236.29,,,0.001,,0.93,,,7.0,
sertraline,CN[C@H]1CC[C@H](C2=CC=CC=C12)C3=CC(=C(C=C3)Cl)Cl,306.234,,,,,0.985,,,26.0,CYP450_3a4_substrate
osilodrostat,C1CC2=CN=CN2[C@H]1C3=C(C=C(C=C3)C#N)F,227.241,1.61,6.9,50.0,6.88,0.364,0.117,,16.4,CYP450_3a4_substrate
gemcitabine,C1=CN(C(=O)N=C1N)[C@H]2C([C@@H]([C@H](O2)CO)O)(F)F,263.1989,,,,,,,,28.599999999999998,
nortilidine,CCOC(=O)[C@]1(CCC=C[C@@H]1NC)C2=CC=CC=C2,,,,,,0.138,,,,
eprosartan,CCCCC1=NC=C(N1CC2=CC=C(C=C2)C(=O)O)/C=C(\CC3=CC=CS3)/C(=O)O,424.519,,,,,0.98,,,,CYP450_3a4_substrate
ceftriaxone,CN1C(=NC(=O)C(=O)N1)SCC2=C(N3[C@@H]([C@@H](C3=O)NC(=O)/C(=N\OC)/C4=CSC(=N4)N)SC2)C(=O)O,554.5872,,,,,0.925,,,0.87,
bosutinib,CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC,530.446,,,0.053,,0.94,,,38.85,CYP450_3a4_substrate
argatroban,C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C,526.66,,,,,0.54,,,,
acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N,225.207,,,,,0.21,,,3.37,
cryptophycin 52,C[C@@H]([C@@H]1C/C=C/C(=O)N[C@@H](C(=O)NCC(C(=O)O[C@H](C(=O)O1)CC(C)C)(C)C)CC2=CC(=C(C=C2)OC)Cl)[C@@H]3[C@H](O3)C4=CC=CC=C4,686.217,,,,,,,,54.9,
hexobarbital,CC1(C(=O)NC(=O)N(C1=O)C)C2=CCCCC2,236.2694,,,,,,,,164.0,
imipenem and cilastatin,C[C@H]([C@@H]1[C@H]2CC(=C(N2C1=O)C(=O)O)SCCN=CN)O.CC1(C[C@@H]1C(=O)N/C(=C\CCCCSC[C@@H](C(=O)O)N)/C(=O)O)C,,,,,,0.2,,,11.8,
(S)-mephenytoin,CC[C@@]1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2,218.2,1.69,8.51,1.27,,0.3,0.779,,,
balipodect,COC1=CN(N=C(C1=O)C2=CC=NN2C3=CC=CC=C3)C4=C(C=C(C=C4)N5C=CC=N5)F,428.4253,,,,,,,,80.3,
macitentan,CCCNS(=O)(=O)NC1=C(C(=NC=N1)OCCOC2=NC=C(C=N2)Br)C3=CC=C(C=C3)Br,588.279,3.7,,,,0.99,,,,CYP450_3a4_substrate
quinupristin,CC[C@@H]1C(=O)N2CCC[C@H]2C(=O)N([C@H](C(=O)N3C[C@H](C(=O)C[C@H]3C(=O)N[C@H](C(=O)O[C@@H]([C@@H](C(=O)N1)NC(=O)C4=C(C=CC=N4)O)C)C5=CC=CC=C5)CS[C@@H]6CN7CCC6CC7)CC8=CC=C(C=C8)N(C)C)C,1022.2313,,,,,0.275,,,10.315,
clozapine,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)Cl)NC4=CC=CC=C42,326.829,,,,,0.97,,,3.8499999999999996,CYP450_3a4_substrate
nusinersen,CC1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)CO)OP(=S)(O)OC[C@@H]3[C@H]([C@H]([C@@H](O3)N4C=C(C(=NC4=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]5[C@H]([C@H]([C@@H](O5)N6C=NC7=C(N=CN=C76)N)OCCOC)OP(=S)(O)OC[C@@H]8[C@H]([C@H]([C@@H](O8)N9C=C(C(=NC9=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)OCCOC)O)OCCOC,7501.0,,,,,0.25,,,,CYP450_3a4_substrate
flupirtine,CCOC(=O)NC1=C(N=C(C=C1)NCC2=CC=C(C=C2)F)N,304.3233,,,,,,,,275.0,
guanfacine,C1=CC(=C(C(=C1)Cl)CC(=O)N=C(N)N)Cl,282.55,,,,,0.7,,,414.4,CYP450_3a4_substrate
(R)-omeprazole,CC1=CN=C(C(=C1OC)C)C[S@@](=O)C2=NC3=C(N2)C=C(C=C3)OC,345.4,,9.29,0.36,,0.96,,,0.037,
triamcinolone,C[C@]12C[C@@H]([C@]3([C@H]([C@@H]1C[C@H]([C@@]2(C(=O)CO)O)O)CCC4=CC(=O)C=C[C@@]43C)F)O,,,,,,0.708,,,,
nadolol,CC(C)(C)NCC(COC1=CC=CC2=C1C[C@@H]([C@@H](C2)O)O)O,309.403,,,,,0.3,,,,
ethosuximide,CCC1(CC(=O)NC1=O)C,141.169,,,,,0.0,,,0.115,
S-3304,CC1=CC=C(C=C1)C#CC2=CC=C(S2)S(=O)(=O)N[C@H](CC3=CNC4=CC=CC=C43)C(=O)O,464.564,,,,,,,,,
CF-1743,CCCCCC1=CC=C(C=C1)C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O,398.4564,,,,,,,,450.0,
seliciclib (R-roscovitine),CC[C@H](CO)NC1=NC(=C2C(=N1)N(C=N2)C(C)C)NCC3=CC=CC=C3,354.455,,,,,0.9,,,,
(-)-epigallocatechin,C1[C@H]([C@H](OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,306.269,,,,,,,,715.3,
phenprocoumon,CCC(C1=CC=CC=C1)C2=C(C3=CC=CC=C3OC2=O)O,280.3,3.62,4.1,100000.0,,,,,,
TAK-272,CC(C)CN([C@H]1C[C@H](CNC1)C(=O)N2CCOCC2)C(=O)C3=NC4=CC=CC=C4N3CCCCOC.Cl,536.1128,,,,,0.8195,,,,
remacemide,CC(CC1=CC=CC=C1)(C2=CC=CC=C2)NC(=O)CN,268.358,,,,,0.74,,,,
(+)-tramadol,CN(C)C[C@H]1CCCC[C@@]1(C2=CC(=CC=C2)OC)O,263.379,,,,,,,,0.49,
quinapril,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N2CC3=CC=CC=C3C[C@H]2C(=O)O,438.521,,,,,0.97,,,0.6,
dacomitinib,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)NC(=O)/C=C/CN4CCCCC4,487.95,,,,,0.98,,,24.9,CYP450_3a4_substrate
(S)-7-hydroxywarfarin,CC(=O)C[C@@H](C1=CC=CC=C1)C2=C(C3=C(C=C(C=C3)O)OC2=O)O,324.3,,,,,,,,51.35,
empagliflozin,C1COC[C@H]1OC2=CC=C(C=C2)CC3=C(C=CC(=C3)[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)Cl,450.91,,,0.001,,0.862,,,10.6,
naldemedine,CC(C)(C1=NC(=NO1)C2=CC=CC=C2)NC(=O)C3=C([C@H]4[C@@]56CCN([C@@H]([C@@]5(C3)O)CC7=C6C(=C(C=C7)O)O4)CC8CC8)O,570.6426,3.2,,,,0.935,,,8.34,CYP450_3a4_substrate
isosorbide dinitrate,C1[C@H]([C@@H]2[C@H](O1)[C@H](CO2)O[N+](=O)[O-])O[N+](=O)[O-],236.135,,,,,0.2,,,48.5,
quazepam,C1C(=S)N(C2=C(C=C(C=C2)Cl)C(=N1)C3=CC=CC=C3F)CC(F)(F)F,386.799,,,,,0.95,,,,CYP450_3a4_substrate
bedaquiline,CN(C)CC[C@@](C1=CC=CC2=CC=CC=C21)([C@H](C3=CC=CC=C3)C4=C(N=C5C=CC(=CC5=C4)Br)OC)O,555.5,,,,,0.99,,,4.8549999999999995,CYP450_3a4_substrate
fluvastatin (acid),CC(C)N1C2=CC=CC=C2C(=C1/C=C/[C@@H](C[C@@H](CC(=O)O)O)O)C3=CC=C(C=C3)F,411.47,,,101.0,,0.98,0.75,,9.5,CYP450_3a4_substrate
tiopronin,CC(C(=O)NCC(=O)O)S,163.196,,,,,0.8,,,62.0,
cannabidiol,CCCCCC1=CC(=C(C(=C1)O)[C@@H]2C=C(CC[C@H]2C(=C)C)C)O,314.466,,,,,0.94,,,1111.0,CYP450_3a4_substrate
buprenorphine,C[C@]([C@H]1C[C@@]23CC[C@@]1([C@H]4[C@@]25CCN([C@@H]3CC6=C5C(=C(C=C6)O)O4)CC7CC7)OC)(C(C)(C)C)O,467.646,4.82,,,44.7,0.96,,,6.945,CYP450_3a4_substrate
indomethacin,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,357.791,,,,,0.9,,,0.7999999999999999,
arbutin,C1=CC(=CC=C1O)O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O,272.0,0.765,,,,,,,,
tirilazad,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C3=CC[C@@]2([C@H]1C(=O)CN5CCN(CC5)C6=NC(=NC(=C6)N7CCCC7)N8CCCC8)C)C,624.8599,6.04,18.26,0.0773,,,,,0.25,
fulacimstat,CN1C2=C(C=C(C=C2)N3C=C(C(=O)N(C3=O)[C@@H]4CCC5=C4C=CC=C5C(F)(F)F)C(=O)O)OC1=O,487.3848,,,,,,,,0.40700000000000003,
fluticasone,C[C@@H]1C[C@H]2[C@@H]3C[C@@H](C4=CC(=O)C=C[C@@]4([C@]3([C@H](C[C@@]2([C@]1(C(=O)SCF)O)C)O)F)C)F,444.511,,,,,0.99,,,1093.0,CYP450_3a4_substrate
temazepam (3-hydroxydiazepam),CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3,300.744,,,,,0.96,,,97.1,CYP450_3a4_substrate
cifenline (cibenzoline),C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4,262.354,,,,,,,,5.63,
dotinurad,C1N(C2=CC=CC=C2S1(=O)=O)C(=O)C3=CC(=C(C(=C3)Cl)O)Cl,358.2001,,,,,0.49689999999999995,,,0.45499999999999996,
lopinavir,CC1=C(C(=CC=C1)C)OCC(=O)N[C@@H](CC2=CC=CC=C2)[C@H](C[C@H](CC3=CC=CC=C3)NC(=O)[C@H](C(C)C)N4CCCNC4=O)O,628.809,5.9,,,,0.985,,,1.2,CYP450_3a4_substrate
acalabrutinib,CC#CC(=O)N1CCC[C@H]1C2=NC(=C3N2C=CN=C3N)C4=CC=C(C=C4)C(=O)NC5=CC=CC=N5,465.5147,,,100.0,,0.975,,,71.0,CYP450_3a4_substrate
