	hia	hia.cls	bbb	bbb.cls	caco2	caco2.cls	p_glycoprotein_substrate	p_glycoprotein_substrate.cls	p_glycoprotein_inhibitor_1	p_glycoprotein_inhibitor_1.cls	p_glycoprotein_inhibitor_2	p_glycoprotein_inhibitor_2.cls	renal_organic_cation_transporter	renal_organic_cation_transporter.cls	cyp450_2c9_substrate	cyp450_2c9_substrate.cls	cyp450_2d6_substrate	cyp450_2d6_substrate.cls	cyp450_3a4_substrate	cyp450_3a4_substrate.cls	cyp450_1a2_substrate	cyp450_1a2_substrate.cls	cyp450_2c9_inhibitor	cyp450_2c9_inhibitor.cls	cyp450_2d6_inhibitor	cyp450_2d6_inhibitor.cls	cyp450_2c19_inhibitor	cyp450_2c19_inhibitor.cls	cyp450_3a4_inhibitor	cyp450_3a4_inhibitor.cls	cyp_inhibitory_promiscuity	cyp_inhibitory_promiscuity.cls	ames_toxicity	ames_toxicity.cls	carcinogenicity	carcinogenicity.cls	biodegradation	biodegradation.cls	herg_inhibitor_1	herg_inhibitor_1.cls	herg_inhibitor_2	herg_inhibitor_2.cls	id
1421	0.9598	False	0.7833	False	0.8022	False	0.6778	Non-substrate	0.7949	Non-inhibitor	0.9441	Non-inhibitor	0.956	Non-inhibitor	0.6103	Non-substrate	0.8476	Non-substrate	0.542	Substrate	0.8479	Non-inhibitor	0.8305	Non-inhibitor	0.8506	Non-inhibitor	0.7907	Non-inhibitor	0.6847	Inhibitor	0.7215	Low CYP Inhibitory Promiscuity	0.7447	Non AMES toxic	0.8445	Non-carcinogens	0.814	Not ready biodegradable	0.9604	Weak inhibitor	0.5082	Non-inhibitor	DB01673
1422	0.9735	True	0.6516	False	0.7299	False	0.6567	Substrate	0.9775	Non-inhibitor	0.9842	Non-inhibitor	0.8803	Non-inhibitor	0.8518	Non-substrate	0.7882	Non-substrate	0.5	Non-substrate	0.752	Non-inhibitor	0.8061	Non-inhibitor	0.8802	Non-inhibitor	0.7556	Non-inhibitor	0.9343	Non-inhibitor	0.6187	Low CYP Inhibitory Promiscuity	0.7755	Non AMES toxic	0.8984	Non-carcinogens	0.9926	Not ready biodegradable	0.9797	Weak inhibitor	0.7595	Non-inhibitor	DB01674
1423	0.5204	True	0.7983	False	0.6595	False	0.828	Substrate	0.5224	Non-inhibitor	0.9455	Non-inhibitor	0.958	Non-inhibitor	0.8316	Non-substrate	0.7999	Non-substrate	0.6159	Substrate	0.7777	Non-inhibitor	0.764	Non-inhibitor	0.8561	Non-inhibitor	0.7232	Non-inhibitor	0.7014	Non-inhibitor	0.8931	Low CYP Inhibitory Promiscuity	0.6061	Non AMES toxic	0.8287	Non-carcinogens	0.9904	Not ready biodegradable	0.9274	Weak inhibitor	0.5974	Non-inhibitor	DB01675
1424	0.9227	True	0.8716	True	0.6001	True	0.8312	Non-substrate	0.7654	Non-inhibitor	0.9723	Non-inhibitor	0.9101	Non-inhibitor	0.7236	Non-substrate	0.8382	Non-substrate	0.5481	Non-substrate	0.9091	Inhibitor	0.8706	Non-inhibitor	0.9129	Non-inhibitor	0.6601	Non-inhibitor	0.9393	Non-inhibitor	0.7988	Low CYP Inhibitory Promiscuity	0.9107	AMES toxic	0.5607	Carcinogens 	0.9095	Not ready biodegradable	0.8347	Weak inhibitor	0.9412	Non-inhibitor	DB01676
1425	0.7887	True	0.9647	True	0.5173	False	0.8606	Non-substrate	0.981	Non-inhibitor	0.9857	Non-inhibitor	0.9554	Non-inhibitor	0.8341	Non-substrate	0.9298	Non-substrate	0.7844	Non-substrate	0.9137	Non-inhibitor	0.9264	Non-inhibitor	0.9486	Non-inhibitor	0.9485	Non-inhibitor	0.9524	Non-inhibitor	0.977	Low CYP Inhibitory Promiscuity	0.7926	Non AMES toxic	0.5114	Non-carcinogens	0.9713	Ready biodegradable	0.9714	Weak inhibitor	0.9929	Non-inhibitor	DB01677
1426	0.7766	False	0.5323	True	0.6651	False	0.8973	Substrate	0.5667	Non-inhibitor	0.8284	Non-inhibitor	0.859	Non-inhibitor	0.6555	Non-substrate	0.7884	Non-substrate	0.572	Substrate	0.8452	Non-inhibitor	0.7337	Non-inhibitor	0.8567	Non-inhibitor	0.6913	Non-inhibitor	0.6037	Inhibitor	0.9071	Low CYP Inhibitory Promiscuity	0.6465	Non AMES toxic	0.8358	Non-carcinogens	0.9389	Not ready biodegradable	0.8258	Weak inhibitor	0.8417	Inhibitor	DB01678
1427	0.7563	False	0.9252	True	0.6503	False	0.6561	Non-substrate	0.892	Non-inhibitor	0.974	Non-inhibitor	0.9381	Non-inhibitor	0.7678	Non-substrate	0.8373	Non-substrate	0.6189	Non-substrate	0.8693	Non-inhibitor	0.8639	Non-inhibitor	0.8953	Non-inhibitor	0.8402	Non-inhibitor	0.9409	Non-inhibitor	0.9457	Low CYP Inhibitory Promiscuity	0.8064	Non AMES toxic	0.6096	Non-carcinogens	0.6176	Ready biodegradable	0.8494	Weak inhibitor	0.899	Non-inhibitor	DB01679
1428	0.8821	True	0.8955	True	0.6567	True	0.7547	Non-substrate	0.9812	Non-inhibitor	0.9917	Non-inhibitor	0.9377	Non-inhibitor	0.8185	Non-substrate	0.9434	Non-substrate	0.8243	Non-substrate	0.9621	Non-inhibitor	0.9808	Non-inhibitor	0.9344	Non-inhibitor	0.9753	Non-inhibitor	0.9863	Non-inhibitor	0.9839	Low CYP Inhibitory Promiscuity	0.9851	Non AMES toxic	0.7473	Non-carcinogens	0.7403	Ready biodegradable	0.9821	Weak inhibitor	0.9827	Non-inhibitor	DB01681
1429	0.9992	False	0.908	True	0.5624	False	0.55	Non-substrate	0.9055	Non-inhibitor	0.9061	Non-inhibitor	0.8741	Non-inhibitor	0.8208	Non-substrate	0.8116	Non-substrate	0.6132	Non-substrate	0.7312	Non-inhibitor	0.732	Non-inhibitor	0.8613	Non-inhibitor	0.6893	Non-inhibitor	0.9585	Non-inhibitor	0.8298	Low CYP Inhibitory Promiscuity	0.6061	Non AMES toxic	0.8993	Non-carcinogens	0.8	Not ready biodegradable	0.8688	Weak inhibitor	0.5834	Non-inhibitor	DB01682
1430	0.7082	False	0.9221	False	0.703	False	0.8094	Substrate	0.7226	Non-inhibitor	0.9502	Non-inhibitor	0.8492	Non-inhibitor	0.6187	Non-substrate	0.7706	Non-substrate	0.5547	Non-substrate	0.8947	Non-inhibitor	0.8709	Non-inhibitor	0.922	Non-inhibitor	0.8182	Non-inhibitor	0.9296	Non-inhibitor	0.9824	Low CYP Inhibitory Promiscuity	0.7162	Non AMES toxic	0.9257	Non-carcinogens	0.8206	Not ready biodegradable	0.9813	Weak inhibitor	0.7955	Non-inhibitor	DB01683
1431	0.8336	True	0.6368	True	0.7335	False	0.7733	Non-substrate	0.9003	Non-inhibitor	0.994	Non-inhibitor	0.9334	Non-inhibitor	0.8773	Non-substrate	0.8428	Non-substrate	0.7268	Non-substrate	0.7738	Non-inhibitor	0.8675	Non-inhibitor	0.8926	Non-inhibitor	0.8089	Non-inhibitor	0.9511	Non-inhibitor	0.9269	Low CYP Inhibitory Promiscuity	0.6674	Non AMES toxic	0.5869	Non-carcinogens	0.7914	Ready biodegradable	0.9405	Weak inhibitor	0.8913	Non-inhibitor	DB01684
1432	1.0	True	0.9553	True	0.5089	True	0.8142	Non-substrate	0.914	Non-inhibitor	0.9566	Non-inhibitor	0.743	Non-inhibitor	0.8646	Non-substrate	0.8876	Non-substrate	0.7258	Non-substrate	0.84	Inhibitor	0.8298	Non-inhibitor	0.9604	Non-inhibitor	0.7387	Non-inhibitor	0.5479	Inhibitor	0.6341	High CYP Inhibitory Promiscuity	0.6839	AMES toxic	0.8822	Non-carcinogens	1.0	Not ready biodegradable	0.9411	Weak inhibitor	0.9281	Non-inhibitor	DB01685
1433	0.8076	True	0.57	False	0.6688	False	0.6229	Substrate	0.9691	Non-inhibitor	0.8965	Non-inhibitor	0.7389	Non-inhibitor	0.8266	Non-substrate	0.7315	Non-substrate	0.6171	Non-substrate	0.9045	Non-inhibitor	0.9071	Non-inhibitor	0.9242	Non-inhibitor	0.93	Non-inhibitor	0.8462	Non-inhibitor	0.9962	Low CYP Inhibitory Promiscuity	0.6415	Non AMES toxic	0.8837	Non-carcinogens	0.7658	Not ready biodegradable	0.944	Weak inhibitor	0.9228	Non-inhibitor	DB01686
1434	0.996	True	0.8911	True	0.9256	True	0.7504	Non-substrate	0.9753	Non-inhibitor	0.991	Non-inhibitor	0.877	Non-inhibitor	0.7251	Non-substrate	0.8554	Non-substrate	0.7152	Non-substrate	0.5105	Inhibitor	0.9606	Non-inhibitor	0.9789	Non-inhibitor	0.9343	Non-inhibitor	0.9324	Non-inhibitor	0.887	Low CYP Inhibitory Promiscuity	0.9513	Non AMES toxic	0.735	Non-carcinogens	0.6121	Ready biodegradable	0.8281	Weak inhibitor	0.9609	Non-inhibitor	DB01688
1435	0.8045	True	0.7233	True	0.7044	False	0.6335	Non-substrate	0.9031	Non-inhibitor	0.9197	Non-inhibitor	0.9454	Non-inhibitor	0.5	Non-substrate	0.8366	Non-substrate	0.6067	Non-substrate	0.939	Non-inhibitor	0.5393	Non-inhibitor	0.8192	Non-inhibitor	0.5183	Non-inhibitor	0.817	Non-inhibitor	0.6999	Low CYP Inhibitory Promiscuity	0.7593	Non AMES toxic	0.6254	Non-carcinogens	0.9942	Not ready biodegradable	0.9896	Weak inhibitor	0.9361	Non-inhibitor	DB01689
1436	0.8092	False	0.8289	True	0.7292	False	0.6	Non-substrate	0.825	Non-inhibitor	0.949	Non-inhibitor	0.9328	Non-inhibitor	0.8508	Non-substrate	0.834	Non-substrate	0.517	Non-substrate	0.8771	Non-inhibitor	0.9107	Non-inhibitor	0.9012	Non-inhibitor	0.9003	Non-inhibitor	0.7715	Non-inhibitor	0.891	Low CYP Inhibitory Promiscuity	0.878	Non AMES toxic	0.9115	Non-carcinogens	0.9936	Not ready biodegradable	0.9512	Weak inhibitor	0.594	Non-inhibitor	DB01690
1437	0.997	True	0.9898	True	0.5772	True	0.6461	Substrate	0.8103	Inhibitor	0.6569	Inhibitor	0.5	Inhibitor	0.7437	Non-substrate	0.8266	Non-substrate	0.7705	Substrate	0.5812	Inhibitor	0.7635	Non-inhibitor	0.8843	Non-inhibitor	0.7776	Non-inhibitor	0.579	Non-inhibitor	0.7148	Low CYP Inhibitory Promiscuity	0.565	Non AMES toxic	0.9516	Non-carcinogens	0.9556	Not ready biodegradable	0.9015	Weak inhibitor	0.5602	Non-inhibitor	DB01691
1438	0.933	True	0.5492	True	0.746	False	0.6771	Non-substrate	0.94	Non-inhibitor	0.9586	Non-inhibitor	0.9272	Non-inhibitor	0.8517	Non-substrate	0.8524	Non-substrate	0.7629	Non-substrate	0.7392	Non-inhibitor	0.8991	Non-inhibitor	0.9279	Non-inhibitor	0.8794	Non-inhibitor	0.9652	Non-inhibitor	0.905	Low CYP Inhibitory Promiscuity	0.7947	Non AMES toxic	0.6855	Non-carcinogens	0.7184	Not ready biodegradable	0.9429	Weak inhibitor	0.8275	Non-inhibitor	DB01692
1439	0.532	False	0.8035	True	0.8783	False	0.7685	Non-substrate	0.9789	Non-inhibitor	0.9739	Non-inhibitor	0.9633	Non-inhibitor	0.8684	Non-substrate	0.9168	Non-substrate	0.7763	Non-substrate	0.9357	Non-inhibitor	0.9071	Non-inhibitor	0.9544	Non-inhibitor	0.9695	Non-inhibitor	0.8884	Non-inhibitor	0.9877	Low CYP Inhibitory Promiscuity	0.9289	Non AMES toxic	0.6841	Non-carcinogens	0.9397	Ready biodegradable	0.9914	Weak inhibitor	0.9749	Non-inhibitor	DB01694
1440	0.9127	False	0.9795	True	0.701	False	0.8065	Non-substrate	0.9333	Non-inhibitor	0.9556	Non-inhibitor	0.9419	Non-inhibitor	0.8341	Non-substrate	0.8126	Non-substrate	0.5574	Non-substrate	0.7353	Non-inhibitor	0.8849	Non-inhibitor	0.9166	Non-inhibitor	0.8562	Non-inhibitor	0.943	Non-inhibitor	0.9847	Low CYP Inhibitory Promiscuity	0.5912	AMES toxic	0.7374	Non-carcinogens	0.7542	Ready biodegradable	0.9692	Weak inhibitor	0.9266	Non-inhibitor	DB01695
1441	0.8041	True	0.8542	False	0.9172	False	0.6901	Substrate	0.8759	Non-inhibitor	0.8546	Non-inhibitor	0.8977	Non-inhibitor	0.7639	Non-substrate	0.8962	Non-substrate	0.5374	Non-substrate	0.8673	Non-inhibitor	0.9071	Non-inhibitor	0.9545	Non-inhibitor	0.9025	Non-inhibitor	0.9249	Non-inhibitor	0.6787	Low CYP Inhibitory Promiscuity	0.5118	Non AMES toxic	0.9608	Non-carcinogens	0.8339	Not ready biodegradable	0.9814	Weak inhibitor	0.7469	Non-inhibitor	DB01698
1442	0.9704	True	0.8866	True	0.5521	False	0.6034	Non-substrate	0.9363	Non-inhibitor	0.9895	Non-inhibitor	0.8818	Non-inhibitor	0.7993	Non-substrate	0.7864	Non-substrate	0.6679	Non-substrate	0.6965	Non-inhibitor	0.9339	Non-inhibitor	0.952	Non-inhibitor	0.9572	Non-inhibitor	0.8754	Non-inhibitor	0.9538	Low CYP Inhibitory Promiscuity	0.8451	Non AMES toxic	0.8171	Non-carcinogens	0.7834	Ready biodegradable	0.9464	Weak inhibitor	0.9546	Non-inhibitor	DB01699
1443	0.903	False	0.9226	True	0.7239	False	0.7073	Non-substrate	0.8892	Non-inhibitor	0.9716	Non-inhibitor	0.9664	Non-inhibitor	0.8032	Non-substrate	0.8426	Non-substrate	0.6249	Non-substrate	0.8664	Non-inhibitor	0.9028	Non-inhibitor	0.9083	Non-inhibitor	0.8902	Non-inhibitor	0.9368	Non-inhibitor	0.985	Low CYP Inhibitory Promiscuity	0.8452	Non AMES toxic	0.8999	Non-carcinogens	0.8328	Not ready biodegradable	0.9938	Weak inhibitor	0.8014	Non-inhibitor	DB01700
1444	0.9974	True	0.99	True	0.7285	True	0.8487	Non-substrate	0.9726	Non-inhibitor	0.9264	Non-inhibitor	0.8737	Non-inhibitor	0.7779	Non-substrate	0.6807	Non-substrate	0.6912	Non-substrate	0.6188	Non-inhibitor	0.8841	Non-inhibitor	0.9293	Non-inhibitor	0.7539	Non-inhibitor	0.9339	Non-inhibitor	0.8786	Low CYP Inhibitory Promiscuity	0.9102	AMES toxic	0.8231	Carcinogens 	0.7807	Not ready biodegradable	0.9478	Weak inhibitor	0.9259	Non-inhibitor	DB01701
1445	0.6969	True	0.7027	False	0.8087	False	0.5812	Non-substrate	0.9797	Non-inhibitor	0.9873	Non-inhibitor	0.9384	Non-inhibitor	0.7954	Non-substrate	0.8981	Non-substrate	0.6705	Non-substrate	0.9513	Non-inhibitor	0.9649	Non-inhibitor	0.9257	Non-inhibitor	0.9743	Non-inhibitor	0.9383	Non-inhibitor	0.9593	Low CYP Inhibitory Promiscuity	0.6453	AMES toxic	0.9283	Non-carcinogens	0.7978	Ready biodegradable	0.972	Weak inhibitor	0.9326	Non-inhibitor	DB01702
1446	0.7246	True	0.9836	True	0.516	False	0.5473	Non-substrate	0.5347	Inhibitor	0.9305	Non-inhibitor	0.6473	Inhibitor	0.8853	Non-substrate	0.7608	Non-substrate	0.6331	Substrate	0.7533	Non-inhibitor	0.7341	Non-inhibitor	0.8462	Non-inhibitor	0.7308	Non-inhibitor	0.8381	Non-inhibitor	0.9123	Low CYP Inhibitory Promiscuity	0.5512	Non AMES toxic	0.9137	Non-carcinogens	0.8893	Not ready biodegradable	0.8847	Weak inhibitor	0.8846	Non-inhibitor	DB01703
1447	0.9611	True	0.6692	True	0.7742	True	0.6896	Non-substrate	0.9768	Non-inhibitor	0.9922	Non-inhibitor	0.9234	Non-inhibitor	0.7758	Non-substrate	0.9174	Non-substrate	0.7255	Non-substrate	0.847	Non-inhibitor	0.5357	Non-inhibitor	0.969	Non-inhibitor	0.6149	Non-inhibitor	0.5707	Non-inhibitor	0.7064	Low CYP Inhibitory Promiscuity	0.9761	Non AMES toxic	0.8844	Non-carcinogens	0.8092	Ready biodegradable	0.9542	Weak inhibitor	0.9799	Non-inhibitor	DB01704
1448	0.8106	True	0.8706	True	0.8728	False	0.5405	Substrate	0.946	Non-inhibitor	0.714	Non-inhibitor	0.5	Inhibitor	0.7882	Non-substrate	0.7463	Non-substrate	0.7342	Non-substrate	0.559	Inhibitor	0.7089	Non-inhibitor	0.6986	Non-inhibitor	0.7408	Non-inhibitor	0.6154	Inhibitor	0.6071	Low CYP Inhibitory Promiscuity	0.7282	Non AMES toxic	0.9012	Non-carcinogens	0.9941	Not ready biodegradable	0.9812	Weak inhibitor	0.7775	Non-inhibitor	DB01705
1449	1.0	True	0.9665	True	0.5557	False	0.7537	Non-substrate	0.9499	Non-inhibitor	0.9171	Non-inhibitor	0.7748	Non-inhibitor	0.8855	Non-substrate	0.8624	Non-substrate	0.7231	Non-substrate	0.8074	Inhibitor	0.5205	Non-inhibitor	0.9829	Non-inhibitor	0.8422	Non-inhibitor	0.7274	Non-inhibitor	0.7817	Low CYP Inhibitory Promiscuity	0.5449	Non AMES toxic	0.9553	Non-carcinogens	0.9842	Not ready biodegradable	0.8653	Weak inhibitor	0.9476	Non-inhibitor	DB01706
1450	0.999	False	0.6259	True	0.5814	False	0.6926	Substrate	0.7794	Non-inhibitor	0.7673	Non-inhibitor	0.9045	Non-inhibitor	0.8803	Non-substrate	0.8082	Non-substrate	0.528	Substrate	0.8679	Non-inhibitor	0.8432	Non-inhibitor	0.9045	Non-inhibitor	0.742	Non-inhibitor	0.743	Non-inhibitor	0.9803	Low CYP Inhibitory Promiscuity	0.7116	Non AMES toxic	0.6065	Non-carcinogens	0.8573	Ready biodegradable	0.7582	Weak inhibitor	0.5624	Non-inhibitor	DB01707
1451	1.0	True	0.9611	True	0.8816	True	0.6176	Substrate	0.6272	Inhibitor	0.9014	Non-inhibitor	0.7596	Non-inhibitor	0.8415	Non-substrate	0.9116	Non-substrate	0.7404	Substrate	0.9313	Non-inhibitor	0.9672	Non-inhibitor	0.9476	Non-inhibitor	0.9025	Non-inhibitor	0.8399	Non-inhibitor	0.9013	Low CYP Inhibitory Promiscuity	0.9382	Non AMES toxic	0.947	Non-carcinogens	0.8998	Not ready biodegradable	0.8861	Weak inhibitor	0.7176	Non-inhibitor	DB01708
1452	0.9403	False	0.9382	True	0.7554	False	0.7893	Non-substrate	0.9051	Non-inhibitor	0.9223	Non-inhibitor	0.933	Non-inhibitor	0.8132	Non-substrate	0.8497	Non-substrate	0.6523	Non-substrate	0.9177	Non-inhibitor	0.8961	Non-inhibitor	0.9223	Non-inhibitor	0.8942	Non-inhibitor	0.9474	Non-inhibitor	0.9754	Low CYP Inhibitory Promiscuity	0.8232	Non AMES toxic	0.704	Non-carcinogens	0.8083	Ready biodegradable	0.9726	Weak inhibitor	0.9122	Non-inhibitor	DB01709
1453	0.9481	True	0.9331	True	0.5157	False	0.6897	Non-substrate	0.6704	Non-inhibitor	0.5695	Non-inhibitor	0.5664	Non-inhibitor	0.6953	Non-substrate	0.8144	Non-substrate	0.5555	Non-substrate	0.7013	Inhibitor	0.6295	Non-inhibitor	0.8293	Non-inhibitor	0.5717	Non-inhibitor	0.7385	Non-inhibitor	0.7969	High CYP Inhibitory Promiscuity	0.5181	AMES toxic	0.9294	Non-carcinogens	1.0	Not ready biodegradable	0.9035	Weak inhibitor	0.907	Non-inhibitor	DB01710
1454	0.9908	True	0.992	True	0.8203	True	0.8321	Non-substrate	0.9303	Non-inhibitor	0.9657	Non-inhibitor	0.839	Non-inhibitor	0.8269	Non-substrate	0.8726	Non-substrate	0.7984	Non-substrate	0.7943	Inhibitor	0.5992	Non-inhibitor	0.927	Non-inhibitor	0.556	Inhibitor	0.8558	Non-inhibitor	0.7103	Low CYP Inhibitory Promiscuity	0.9634	Non AMES toxic	0.5845	Non-carcinogens	0.8502	Not ready biodegradable	0.9183	Weak inhibitor	0.8918	Non-inhibitor	DB01711
1455	0.9779	True	0.5503	True	0.6968	False	0.8029	Substrate	0.8273	Inhibitor	0.8481	Non-inhibitor	0.8336	Non-inhibitor	0.6833	Non-substrate	0.8041	Non-substrate	0.5149	Non-substrate	0.901	Non-inhibitor	0.5252	Inhibitor	0.9367	Non-inhibitor	0.6234	Inhibitor	0.5556	Inhibitor	0.6788	Low CYP Inhibitory Promiscuity	0.6867	Non AMES toxic	0.8223	Non-carcinogens	0.8604	Not ready biodegradable	0.9552	Weak inhibitor	0.6186	Non-inhibitor	DB01712
1456	0.9734	False	0.6363	False	0.7969	False	0.6773	Non-substrate	0.7846	Non-inhibitor	0.9495	Non-inhibitor	0.9462	Non-inhibitor	0.6781	Non-substrate	0.8531	Non-substrate	0.5325	Non-substrate	0.8602	Non-inhibitor	0.8619	Non-inhibitor	0.8559	Non-inhibitor	0.8138	Non-inhibitor	0.5592	Non-inhibitor	0.8115	Low CYP Inhibitory Promiscuity	0.7786	Non AMES toxic	0.8941	Non-carcinogens	0.6101	Not ready biodegradable	0.9692	Weak inhibitor	0.5268	Non-inhibitor	DB01713
1457	0.9311	True	0.8274	True	0.6331	False	0.6637	Substrate	0.975	Non-inhibitor	0.9629	Non-inhibitor	0.8634	Non-inhibitor	0.8078	Non-substrate	0.6776	Non-substrate	0.7428	Non-substrate	0.828	Non-inhibitor	0.9522	Non-inhibitor	0.9502	Non-inhibitor	0.9625	Non-inhibitor	0.9667	Non-inhibitor	0.9964	Low CYP Inhibitory Promiscuity	0.8241	Non AMES toxic	0.8964	Non-carcinogens	0.8225	Ready biodegradable	0.9588	Weak inhibitor	0.9231	Non-inhibitor	DB01714
1458	0.6464	True	0.7921	True	0.7211	False	0.5433	Substrate	0.9706	Non-inhibitor	0.9937	Non-inhibitor	0.8945	Non-inhibitor	0.8474	Non-substrate	0.7891	Non-substrate	0.7628	Non-substrate	0.7402	Non-inhibitor	0.9559	Non-inhibitor	0.9635	Non-inhibitor	0.9743	Non-inhibitor	0.9472	Non-inhibitor	0.9902	Low CYP Inhibitory Promiscuity	0.8702	Non AMES toxic	0.8156	Non-carcinogens	0.7899	Not ready biodegradable	0.9587	Weak inhibitor	0.9341	Non-inhibitor	DB01715
1459	0.8795	False	0.8394	False	0.7575	False	0.5758	Non-substrate	0.8275	Non-inhibitor	0.9704	Non-inhibitor	0.9651	Non-inhibitor	0.7355	Non-substrate	0.8581	Non-substrate	0.5625	Non-substrate	0.9582	Non-inhibitor	0.9246	Non-inhibitor	0.9515	Non-inhibitor	0.9224	Non-inhibitor	0.9347	Non-inhibitor	0.975	Low CYP Inhibitory Promiscuity	0.7247	Non AMES toxic	0.9635	Non-carcinogens	0.5975	Not ready biodegradable	0.9939	Weak inhibitor	0.9743	Non-inhibitor	DB01716
1460	0.8092	False	0.8289	True	0.7292	False	0.6	Non-substrate	0.825	Non-inhibitor	0.949	Non-inhibitor	0.9328	Non-inhibitor	0.8508	Non-substrate	0.834	Non-substrate	0.517	Non-substrate	0.8771	Non-inhibitor	0.9107	Non-inhibitor	0.9012	Non-inhibitor	0.9003	Non-inhibitor	0.7715	Non-inhibitor	0.891	Low CYP Inhibitory Promiscuity	0.878	Non AMES toxic	0.9115	Non-carcinogens	0.9936	Not ready biodegradable	0.9512	Weak inhibitor	0.594	Non-inhibitor	DB01717
1461	0.8956	False	0.9693	True	0.7014	True	0.5098	Non-substrate	0.9556	Non-inhibitor	0.7862	Non-inhibitor	0.6184	Non-inhibitor	0.8557	Non-substrate	0.6596	Non-substrate	0.5059	Substrate	0.8243	Non-inhibitor	0.947	Non-inhibitor	0.9149	Non-inhibitor	0.9266	Non-inhibitor	0.9831	Non-inhibitor	0.9722	Low CYP Inhibitory Promiscuity	0.9617	Non AMES toxic	0.7243	Carcinogens 	0.8286	Ready biodegradable	0.8233	Weak inhibitor	0.5139	Non-inhibitor	DB01718
1462	0.9375	False	0.5951	True	0.8205	False	0.5997	Non-substrate	0.744	Non-inhibitor	0.9217	Non-inhibitor	0.8009	Non-inhibitor	0.8169	Non-substrate	0.864	Non-substrate	0.6528	Non-substrate	0.8944	Non-inhibitor	0.8666	Non-inhibitor	0.8978	Non-inhibitor	0.7846	Non-inhibitor	0.9341	Non-inhibitor	0.7233	Low CYP Inhibitory Promiscuity	0.7723	Non AMES toxic	0.9394	Non-carcinogens	0.8682	Not ready biodegradable	0.9799	Weak inhibitor	0.803	Non-inhibitor	DB01719
1463	0.828	True	0.574	True	0.5554	False	0.5884	Non-substrate	0.8469	Non-inhibitor	0.9743	Non-inhibitor	0.9295	Non-inhibitor	0.7695	Non-substrate	0.8462	Non-substrate	0.5549	Non-substrate	0.5922	Inhibitor	0.5539	Non-inhibitor	0.93	Non-inhibitor	0.8059	Non-inhibitor	0.579	Non-inhibitor	0.6399	Low CYP Inhibitory Promiscuity	0.808	Non AMES toxic	0.8982	Non-carcinogens	0.894	Not ready biodegradable	0.9806	Weak inhibitor	0.8674	Non-inhibitor	DB01720
1464	0.5756	False	0.9872	False	0.7597	False	0.9193	Substrate	0.5826	Inhibitor	0.8226	Non-inhibitor	0.8833	Non-inhibitor	0.8294	Non-substrate	0.6305	Non-substrate	0.7505	Substrate	0.8854	Non-inhibitor	0.8241	Non-inhibitor	0.5493	Non-inhibitor	0.5946	Non-inhibitor	0.671	Inhibitor	0.8294	Low CYP Inhibitory Promiscuity	0.715	Non AMES toxic	0.8739	Non-carcinogens	0.9718	Not ready biodegradable	0.9684	Weak inhibitor	0.5234	Inhibitor	DB01721
1465	0.6539	True	0.6435	True	0.5442	True	0.6839	Substrate	0.5973	Inhibitor	0.7257	Inhibitor	0.7286	Non-inhibitor	0.8215	Non-substrate	0.8441	Non-substrate	0.6873	Substrate	0.693	Non-inhibitor	0.6915	Non-inhibitor	0.8835	Non-inhibitor	0.774	Non-inhibitor	0.754	Non-inhibitor	0.7514	Low CYP Inhibitory Promiscuity	0.8454	Non AMES toxic	0.919	Non-carcinogens	0.7628	Not ready biodegradable	0.9522	Weak inhibitor	0.5104	Inhibitor	DB01723
1466	0.9871	True	0.5625	False	0.7255	False	0.6661	Non-substrate	0.9601	Non-inhibitor	0.9713	Non-inhibitor	0.8984	Non-inhibitor	0.8262	Non-substrate	0.7365	Non-substrate	0.7959	Non-substrate	0.773	Non-inhibitor	0.9527	Non-inhibitor	0.7571	Non-inhibitor	0.9371	Non-inhibitor	0.9407	Non-inhibitor	0.9625	Low CYP Inhibitory Promiscuity	0.7934	Non AMES toxic	0.7473	Non-carcinogens	0.8806	Ready biodegradable	0.964	Weak inhibitor	0.9556	Non-inhibitor	DB01724
1467	0.9855	True	0.957	True	0.7213	False	0.5952	Non-substrate	0.9455	Non-inhibitor	0.8549	Non-inhibitor	0.6475	Non-inhibitor	0.7843	Non-substrate	0.772	Non-substrate	0.6969	Non-substrate	0.7802	Inhibitor	0.618	Non-inhibitor	0.639	Inhibitor	0.6488	Inhibitor	0.7686	Non-inhibitor	0.5693	High CYP Inhibitory Promiscuity	0.6474	AMES toxic	0.9128	Non-carcinogens	0.9965	Not ready biodegradable	0.9588	Weak inhibitor	0.7384	Non-inhibitor	DB01725
1468	0.9498	True	0.5904	False	0.662	True	0.7899	Non-substrate	0.9848	Non-inhibitor	0.9917	Non-inhibitor	0.927	Non-inhibitor	0.8201	Non-substrate	0.7495	Non-substrate	0.7588	Non-substrate	0.6688	Non-inhibitor	0.7238	Non-inhibitor	0.9637	Non-inhibitor	0.7316	Non-inhibitor	0.9354	Non-inhibitor	0.6903	Low CYP Inhibitory Promiscuity	0.8781	AMES toxic	0.7964	Non-carcinogens	0.7807	Not ready biodegradable	0.8987	Weak inhibitor	0.9127	Non-inhibitor	DB01726
